OrderYear,OrderMonth,CustomerID,CustomerFullName,EmployeeMonthAmount,EmployeeMonthAmount_LastYear
2013,12,30117,Robert R. Vessa,73270.506,78580.1157
2014,1,29629,Carlton M. Carlisle,59234.838,0.0
2014,1,29639,Joseph N. Castellucio,65622.167,86352.4057
2014,1,29736,Terry Eminhizer,67831.3271,0.0
2014,1,29770,Kathleen M. Garza,68748.4235,38254.4351
2014,1,29916,Reed Koch,63645.6604,0.0
2014,2,14230,Luis L Coleman,3612.7999999999997,2049.0982
2014,2,14234,Gina Romero,3616.3,0.0
2014,2,16263,Eduardo Robinson,4800.01,0.0
2014,2,18139,Jennifer Washington,4763.99,0.0
2014,2,18140,Anthony White,4740.97,0.0
2014,3,29617,Lindsey R. Camacho,106268.238,45674.4609
2014,3,29641,Raul E. Casts,116153.8278,0.0
2014,3,29923,Edward J. Kozlowski,112312.554,0.0
2014,3,29940,Robertson Lee,108982.7474,0.0
2014,3,29987,Frank Mart¡nez,101438.0899,0.0
2014,4,11044,Adam L Flores,3140.31,0.0
2014,4,11047,Jaclyn D Lu,3182.3399999999997,0.0
2014,4,12125,Diana Ortega,4154.030000000001,0.0
2014,4,16551,Christy M Shan,2589.41,0.0
2014,4,20713,Kathleen Gill,2638.94,0.0
2014,5,29629,Carlton M. Carlisle,89981.79,0.0
2014,5,29701,Kirk DeGrasse,85393.7413,0.0
2014,5,29715,Andrew Dixon,80450.376,0.0
2014,5,29736,Terry Eminhizer,89869.2763,0.0
2014,5,29770,Kathleen M. Garza,83076.5709,0.0
2014,6,11176,Mason D Roberts,213.33,0.0
2014,6,11185,Ashley Henderson,234.94,0.0
2014,6,11501,Brandy P Chandra,268.72,0.0
2014,6,12606,Arthur A Van,294.41999999999996,0.0
2014,6,13140,Jamie J Zhu,255.22,0.0
